what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1515849184887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1515849186893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1515849188319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1515849194730
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1515849196915
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1515849211795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849212924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1515849214050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1515849216227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1515849217614
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1515849219382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1515849220391
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1515849221442
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849234495
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1515849235477
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1515849237084
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849245241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849282074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849284026
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1515849285133
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1515849292696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1515849299377
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1515849302644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1515849312474
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1515849313529
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1515849323736
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849324262
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1515849325547
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849332408
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849335491
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1515849344178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849344222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849345344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1515849388922
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1515849391315
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1515849391477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1515849392032
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1515849393110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1515849507771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849511264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849515590
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849517824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849519033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849521419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849524856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849531343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849532654
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1515849533991
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849533999
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849534010
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849534021
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849534034
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849534056
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849534066
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849534085
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849534098
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515849534124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515849827230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515850506723
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1515850508097
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515850516443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515850516472
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1515850517092
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515850517351
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515850517411
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1515850517905
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515850518226
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515850518282
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1515850519639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515850519876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515851319657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515851657693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515851664151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515851693603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515851694077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852108917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852112397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852120179
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852120375
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852120417
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1515852120449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852126985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852142390
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852142548
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852142593
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1515852142623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852148082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852407884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852411605
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852411705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852414377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852415359
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852415470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852419918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852430801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852436578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852439353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852502356
no handler,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1515852505349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852506587
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852506676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852511651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852512594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852515407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852516462
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852516567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852520564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852521423
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852521507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852525015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852526202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852533514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852534359
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852534457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852538403
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852540225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852541545
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852541624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852543535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852549975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852554665
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852554849
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852554907
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1515852554934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852556794
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852556873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852558702
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852560801
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852562733
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852562733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852563986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852566985
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852567109
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852567144
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1515852567171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852568358
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852568434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852572390
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852572496
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852572542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852574634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852602314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852604064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852614445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852616548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852626184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1515852626194
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852629337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852630490
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852630574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852639927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852647856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852690457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1515852692266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852693399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852732017
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1515852732054
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515852733806
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515852733868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852739981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852743292
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852747489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852748671
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515852748767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852749085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852751014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852752080
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1515852754800
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515852754964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852793288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852850580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852851833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515852860860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852862941
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1515852863624
